 Geo_ID,Geography_location,Geography_state,Total_Estimate,Estimate_LT_High_School,HighSchool_Estimate,Estimate_Some_College,Estimate_Bachelor,Estimate_Graduate_Degree,Estimate_Male,Estimate_Male_LT_High_School,Estimate_Male_HighSchool,Estimate_Male_Some_College,Estimate_Male_Bachelor,Estimate_Male_Graduate_Degree,Estimate_Female,Estimate_Female_LT_High_School,Estimate_Female_High_School,Estimate_Female_Some_College,Estimate_Female_Bachelor,Estimate_Female_Graduate_Degree
97000US1700105,A-C Central Community Unit School District 262, IL,33722,41250,31490,34948,36964,65833,42022,41944,32750,52679,39688,104583,26223,14531,28125,24500,26875,32083
97000US1904080,A-H-S-T Community School District, IA,35969,16875,34167,36979,38750,50938,44079,18438,39886,48281,49688,7222,27176,12917,26042,25172,35625,58125
97000US2700106,A.C.G.C. Public School District, MN,30386,27727,28477,31380,35809,58750,38171,29464,33953,40817,43500,65625,23774,16250,20491,24074,27188,54583
97000US4500690,Abbeville County School District, SC,30283,21652,27447,32579,38265,46875,37216,24128,32982,42024,48324,63350,22361,19408,19042,26129,30516,42869
97000US5500030,Abbotsford School District, WI,30095,22353,30517,33594,45938,84375,35958,24474,35000,43393,51944,166094,25997,17188,22375,26779,41389,70625
97000US4807380,Abbott Independent School District, TX,31857,15221,28125,35313,53036,43393,42563,15662,40083,46964,61250,46250,25592,11250,21875,21806,37321,43393
97000US0601620,ABC Unified School District, CA,37801,20335,28167,39301,52182,70784,41059,21282,30883,43098,56020,75417,34204,18180,26255,32968,49583,65833
97000US2800360,Aberdeen School District, MS,26577,22453,22995,28500,38699,53750,32113,26520,30231,54063,43611,111250,19358,13500,14176,22976,38340,9643
97000US5300030,Aberdeen School District, WA,32220,24643,25856,33900,44496,57222,40039,35847,30500,45519,54188,76442,26095,16372,23038,27469,39242,50938
97000US4602070,Aberdeen School District 06-1, SD,35587,22880,30058,35503,41470,50470,41482,26150,36070,41033,53519,63534,30191,17500,23425,29725,36075,45226
97000US1600030,Aberdeen School District 58, ID,24935,23269,23281,23750,40577,52031,32907,31250,25656,40556,47727,56750,16221,16400,17656,12125,28846,49000
97000US4807410,Abernathy Independent School District, TX,29583,20515,28304,28519,39545,45735,39303,35750,34531,34792,69286,61696,21091,13063,15938,25368,7115,34219
97000US4807440,Abilene Independent School District, TX,27989,16654,25410,29184,35971,53543,33163,22241,29364,34188,43217,66458,22697,11850,20616,23422,31487,44018
97000US2003180,Abilene Unified School District 435, KS,34147,16875,28083,33170,47054,59821,43956,14889,40988,50527,51633,63289,25761,17589,20417,26351,38077,51417
97000US1701413,Abingdon-Avon Community Unit School District 276, IL,30484,19583,29435,28941,40275,54167,35052,27679,33607,36635,72647,75833,26083,3958,21422,24728,37292,53750
97000US4202010,Abington Heights School District, PA,43878,38125,31368,40228,50259,63357,54612,38574,35177,53873,60481,85250,35342,19063,22928,35172,37083,43882
97000US4202040,Abington School District, PA,45162,21765,33732,40810,54294,72224,52019,26500,41093,46181,62541,92874,37443,16616,27782,32170,48372,61670
97000US2501650,Abington School District, MA,48385,35764,39026,41628,67460,75793,60214,43264,45976,48906,76797,88875,40193,6552,30625,34872,55556,73773
95000US3001710,Absarokee Elementary School District, MT,34115,7112,21389,36944,33333,61094,60625,32727,67188,51250,41458,100750,17768,,13897,21786,32625,22143
96000US3001740,Absarokee High School District, MT,33784,6940,36417,29167,33667,65000,55417,7391,65179,53750,47917,100250,15625,,14286,15972,18750,47750
97000US3400660,Absecon City School District, NJ,38808,30739,31943,38795,47738,77113,41071,30951,34896,39459,51014,78482,35896,29318,29608,37500,45789,76250
97000US4807470,Academy Independent School District, TX,46719,25054,38625,44086,50066,63370,49487,25489,49044,44559,59886,93417,40726,8889,18438,43814,48462,51518
97000US0801920,Academy School District 20, CO,50011,20938,32453,36469,54448,79875,72053,35545,40116,48277,81039,101071,33026,11250,27028,28034,36495,44127
97000US2200030,Acadia Parish School District, LA,30477,22146,30311,27479,44018,58482,45228,32156,46042,42077,59574,67154,19718,13864,15958,21377,36419,44464
96000US0601650,Acalanes Union High School District, CA,72091,26128,32479,43239,76021,109897,99669,25733,40365,52262,101362,137342,53345,26801,30731,33554,55108,73577
97000US5100060,Accomack County Public Schools, VA,30363,21870,26413,31734,43519,62167,34580,27311,29109,41088,51985,71580,26255,16033,23298,25962,40151,55089
97000US4002370,Achille Public Schools, OK,28929,20833,26493,29526,31667,44250,31738,44500,30990,33125,19808,,24375,14500,22115,22656,38056,44000
95000US0601680,Ackerman Elementary School District, CA,31280,11767,23810,26500,72750,67143,40938,11897,31765,45833,76667,66250,23547,,19712,21818,56528,78750
97000US2302220,Acton, ME,32012,18359,37857,32500,33214,15625,40789,18750,39643,44491,34732,15556,27404,,32917,26947,31382,40313
95000US2501680,Acton School District, MA,74709,13836,32862,41097,72428,98319,102103,17778,44028,52380,102986,125185,50823,,16250,30132,47723,65457
97000US0600001,Acton-Agua Dulce Unified School District, CA,48849,22125,36585,52592,64960,68875,66905,43021,51794,70332,106027,73287,33435,13906,29732,40966,33571,56534
96000US2501710,Acton-Boxborough School District, MA,75959,14612,31548,40317,72087,99278,105096,18750,46029,51986,102290,127315,48445,,16818,30417,45878,66106
95000US2501740,Acushnet School District, MA,45979,36955,44199,30417,55313,70496,49629,41500,52589,30870,69091,71330,38372,28625,30700,30000,52813,67750
97000US3904518,Ada Exempted Village School District, OH,32560,4143,25738,35494,29509,54000,41653,4115,35188,41094,54205,61313,25781,7679,18966,33125,21569,50197
97000US4002430,Ada Public Schools, OK,29394,14961,24912,22778,42083,42048,30274,18147,28603,23464,41875,42409,28526,12656,19101,22386,42216,41769
97000US2700126,Ada-Borup Public School District, MN,30762,27727,28563,31898,36417,91250,36344,29318,32024,44250,40714,93750,26069,11667,24107,25560,31125,26667
97000US2922980,Adair County R-I School District, MO,29375,25234,26133,30625,34583,36250,31520,26625,30038,35250,48250,52031,26176,12167,20714,27273,31250,31339
97000US2905790,Adair County R-II School District, MO,27828,7159,24276,35517,31458,39688,29539,6705,26750,37778,36667,,25417,,17396,30000,29250,39688
97000US2100030,Adair County School District, KY,26896,17883,23810,26264,36976,46285,29231,19513,27557,32833,34219,47736,23551,15439,18382,22129,38578,45536
97000US4002460,Adair Public Schools, OK,36502,12063,37159,35393,37281,46786,44406,15547,44671,44500,58864,46771,25152,5769,17857,27452,35175,46875
97000US1903090,Adair-Casey Community School District, IA,31389,18750,29563,31250,37639,31591,37546,20625,35662,38472,49625,38125,19495,18125,19200,18047,34167,31477
97000US1800060,Adams Central Community Schools, IN,32594,22065,29684,36313,39911,45966,36753,22806,38043,46321,67300,54375,26136,17708,19205,27063,30536,45625
97000US3102770,Adams Central Public Schools, NE,41162,21750,33480,35647,46094,55508,49865,21750,40026,47014,60417,65347,31099,,21250,28548,33523,49423
97000US0801950,Adams County School District 14, CO,30464,24148,30947,32494,45346,60368,32571,29296,33223,35568,52100,60481,25257,13738,26216,31607,40000,60250
97000US3906190,Adams County/Ohio Valley Local School District, OH,26738,20223,23240,31298,38525,59345,30818,21995,30497,39023,50208,12431,22822,12853,17996,27641,38093,61579
95000US3801680,Adams Public School District 128, ND,33750,17500,31750,52750,38958,,53281,17188,61875,58750,38333,,25417,,25000,17083,39583,
97000US2601890,Adams Township School District, MI,29875,26635,25069,28380,52298,37266,32000,29250,26548,30714,64531,105521,26903,25288,23576,24779,50968,33750
97000US0802340,Adams-Arapahoe School District 28J, CO,30026,20821,26530,32120,43887,50724,31765,22766,30040,35981,50195,50714,27151,15784,22163,29889,39358,50730
97000US2501780,Adams-Cheshire School District, MA,32115,17552,28141,37839,33875,51781,40000,28125,34583,48347,65481,56705,27359,14390,21402,34886,30250,51061
96000US2525008,Adams-Cheshire School District in Savoy (7-12), MA,37344,17125,33854,40781,65750,67500,46750,20313,46250,47500,135250,71875,32396,15833,30556,39375,60208,53125
97000US5500060,Adams-Friendship Area School District, WI,22744,18822,21430,23382,34743,51364,25767,19716,25540,30518,40179,51313,20481,18167,19022,20030,34516,51875
97000US3602370,Addison Central School District, NY,29266,26458,26238,29936,42500,57153,33494,27857,30714,40227,51250,60250,25821,13750,20000,27128,40234,57014
97000US2601920,Addison Community Schools, MI,31914,9160,26727,33857,38221,47063,37695,8811,34913,43720,41193,30542,24308,15288,20513,24742,36336,71719
95000US5001710,Addison School District, VT,37031,30000,35625,34417,37321,54808,43438,31607,42237,43333,43281,111667,31250,6477,26324,29531,34063,49167
95000US1703150,Addison School District 4, IL,32203,24085,24212,37539,51631,66750,36954,26633,31335,39613,63628,93323,27303,16011,18750,35809,45377,55099
97000US4100990,Adel School District 21, OR,32083,18958,45000,17000,21250,,40208,18958,45000,21875,,,16750,,,,16250,
97000US1903150,Adel-De Soto-Minburn Community School District, IA,39523,21422,32517,39596,52478,67083,47210,20647,35405,43719,64427,88929,34494,25341,26348,35435,40750,59261
95000US0601710,Adelanto Elementary School District, CA,28396,20732,29863,35671,26523,56540,30984,21894,30794,41059,20833,56842,26282,16524,28449,28063,26750,35250
97000US3904949,Adena Local School District, OH,38538,9688,35608,41688,40938,60250,44435,14653,44132,45862,47411,65313,30000,4393,23384,30288,36696,60208
97000US3605040,Adirondack Central School District, NY,32866,14450,28750,35190,52788,47583,37500,16250,35000,41923,56250,42875,27289,11250,19418,27138,52692,50000
96000US1732580,Adlai E. Stevenson High School District 125, IL,67021,26310,33041,38879,69853,94611,88535,33030,37625,53333,92622,115088,50267,25786,23669,32577,52315,75393
